name,cuisines,area,timing,full_address,ishomedelivery,istakeaway,isindoorseating,isvegonly,dinner_ratings,dinner_reviews,delivery_ratings,delivery_reviews,knownfor,populardishes,peopleknownfor,averagecost
California Burrito,"mexican, fast food, beverages, desserts","Koramangala 5th Block, Bangalore",11am – 1am (Today),"134, KHB Colony, Koramangala 5th Block, Bangalore",1,1,1,0,4.2,1421,4.3,7031,,"Paneer Burrito, Chicken Quesadilla, Rice Bowl, Tacos, Salsa, Quick Meal","Economical, Casual Seating Area, Fresh Ingredients, Inexpensive, Nice Crowd, Healthy Food",500
Vijayalakshmi Veg,"south indian, chinese, north indian","Jayanagar, Bangalore",7am – 10pm (Today),"3, Opposite Sagar Hospital, Tilak Nagar, Jayanagar, Bangalore",1,1,1,1,3.7,135,3.8,9177,,,,300
Theobroma,"desserts, bakery, beverages, fast food, sandwich","Koramangala 5th Block, Bangalore",8am – 12midnight (Today),"Site 117, 7th Block, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",1,1,0,0,3.0,32,4.3,1468,,,"Vibe, Elaborate Menu, Fresh Food, Good Quality, Ambience",400
Rolls On Wheels,"rolls, chinese, north indian","Jayanagar, Bangalore",11am – 5am (Today),"365, 26th Main, 38th Cross, 9th Block, Jayanagar, Bangalore",1,1,0,0,3.0,1,4.2,1041,,,,300
Smoor,"desserts, cafe, pizza, asian, thai, italian, beverages, shake","Koramangala 7th Block, Bangalore",8am – 12midnight (Today),"113, 1st C Main, Prestige Pinnacle, Koramangala 7th Block, Bangalore",1,1,1,0,4.1,233,4.4,2543,,"Red Velvet, Chocolate, Cheesecake, Desserts, Cake, Fries","Highly Recommended, Coffee Date, Pretty Decor, Service and Quality of Food, Table Service, Pocket Friendly",900
Shanmukha,"biryani, andhra, north indian, chinese, seafood","JP Nagar, Bangalore",11:30am – 11pm (Today),"1313, Near Bangalore Central Mall, 25th Main, 9th Block, JP Nagar, Bangalore",1,1,1,0,4.4,2668,4.1,52300,"Their tasty, spicy and colorful biryani","Pepper Chicken Wing, Spicy Andhra Biryani, Veg Hyderabadi Biryani, Kaju Curry, Egg Chilli, Chicken Lollypop","Boneless Chicken Biryani, Relaxed Atmosphere, Servings, Family Restaurant, Family Place, Good for Large Groups",650
Starbucks Coffee,"coffee, desserts, beverages","Koramangala 7th Block, Bangalore",8am – 11pm (Today),"115, Ground Floor, Near Forum Mall, Industrial Layout, Koramangala 7th Block, Bangalore",1,1,1,0,4.2,1442,4.0,437,,"Mocha Frappuccino, White Chocolate Mocha, Java Chip Frappuccino, Caramel Macchiato, Veg Quiche, Vanilla Latte","Charging Ports, Free Wifi, Beautiful Ambience, Cool Place, Seating Arrangement, Interior",600
Paratha Envy,north indian,"Koramangala 5th Block, Bangalore",9am – 4am (Today),"126/1, Stilt Floor, 5th Block KHB Colony, Koramangala 5th Block, Bangalore",1,1,1,0,3.4,16,4.4,1183,,,"Portion Size, Perfect Presentation, Packing, Proper Packaging, Tasty, Timely Service",400
Kapoor's Cafe,"north indian, beverages, desserts","Jayanagar, Bangalore",11am – 11pm (Today),"GVS Complex, 4th Floor, 3rd Block, Jayanagar, Bangalore",1,1,1,0,3.9,475,3.9,2321,,"Aloo Parathaas, Paneer do Pyaza, Fruit Cream, Aloo Poori, Spicy Fries, Masala Chaas","Authentic, Good Service Good Quality, Ample Seating Area, Relaxed Atmosphere, Family Place, Waiting Time",700
Barbeque Nation,"bbq, mughlai, biryani, north indian, desserts, beverages","Koramangala 1st Block, Bangalore",11:30am – 11pm (Today),"86, 1st Cross, Koramangala 1st Block, Bangalore",1,1,1,0,4.6,4561,3.8,635,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Chilli Garlic Prawn, Bbq Prawns, Crispy Potato Skin, Masala Corn, Tangdi Chicken, Pan Kulfi","Personnel, Live Grill, Awesome View, Complimentary Drinks, Outstanding Service, Excellent Hospitality",1600
Udupi Palace,"south indian, north indian, street food, fast food, chinese, shake","HSR, Bangalore",7am – 11pm (Today),"1188, HNR Towers, 24th Main Road, Sector 2, HSR, Bangalore",1,1,1,0,3.7,249,3.9,21800,,,"Nice Taste, Prompt Service, Excellent Food, Good Taste, Good Quantity, Reasonable Price",400
Anjappar,"chettinad, biryani, chinese, seafood, south indian, mughlai, north indian, desserts","Koramangala 4th Block, Bangalore",11:30am – 11:30pm (Today),"4, 68-7, 100 Feet Road, Koramangala 4th Block, Bangalore",1,1,1,0,4.1,1233,3.9,5516,Spicy Chicken Starters,"Chettinad Curry, Turkey, Rabbit, Pepper Chicken, Spicy Food, Mutton Biryani","Valet Parking, Waiter, Concept, Good Quantity, Quick Service, Wonderful Presentation",800
Biryani Pot,"biryani, north indian, chinese, hyderabadi, andhra, wraps","BTM, Bangalore","11am – 11:30pm, 12midnight – 4am (Today)","18, 4th Main, 14th Cross,  4th Link Road, Maruthi Nagar, Madiwala, BTM, Bangalore",1,1,1,0,4.0,989,3.9,54800,Huge Portions of Biriyani,"Hyderabadi Lamb Biryani, Spicy Chicken, Paneer Biryani, Chicken Biryani, Mutton, Kabab","Nice Taste, Good Quantity, Best Food, Spill Proof Packaging, Contactless Delivery, Packing",500
ibaco,desserts,"Koramangala 4th Block, Bangalore",10am – 11pm (Today),"565, 8th Main Road, 4th Block, Koramangala 4th Block, Bangalore",1,0,1,0,4.2,363,4.3,528,natural flavored ice creams,"Ice Creams, Icecream, Cakes, Dessert","Concept, Parking, Flavour, Location, Nice Place, Good Place",250
Roti Wala,"north indian, fast food, healthy food, desserts, beverages, chinese","BTM, Bangalore",11:30am – 2am (Today),"239, 7th Cross, Stage 2, BTM, Bangalore",1,1,1,0,4.1,324,4.0,36100,,"Sprout Salad, Gulabjamun, Kadhai Paneer, Makhani, Veg Thali, Chole","Unlimited Refills, Office Crowd, Elegantly Decorated, Pocket Friendly, Great Recommendations, Healthy Food",300
Ande Ka Funda,"north indian, rolls, chinese","BTM, Bangalore",11:30am – 10:30pm (Today),"20, NS Palya, 2nd Stage, BTM, Bangalore",1,1,0,0,3.1,87,3.8,986,,,"Quality, Value for Money, Food, Taste",200
Kolkata Famous Kati Rolls,rolls,"Jayanagar, Bangalore",10am – 11pm (Today),"1340, 41st Cross Road, Kottapalya, 9th Block, Jayanagar, Bangalore",1,1,1,0,2.8,2,3.9,476,,,,200
Bhartiya Jalpan,"north indian, street food, mithai, rajasthani, bengali, beverages","HSR, Bangalore",9am – 10:30pm (Today),"2631, 27th Main Road, Sector 1, HSR Layout, HSR, Bangalore",1,1,1,0,2.5,118,3.9,1595,,"Jalebi, Chaat, Vada Pav, Samosa, Paratha","Portion Size, Manager, Nice Place, Good Place, Great Portions, Quantity",300
Hyderabadi Biryani Hub,"biryani, north indian, chinese, andhra, hyderabadi","BTM, Bangalore",,"18, 4th Cross, 4th Link Road, Maruthi Nagar, Madiwala, 1st Stage, BTM, Bangalore",1,1,1,0,3.9,364,3.8,14400,,"Grilled Chicken Steak, Paneer Biryani, Chicken Dum Biryani, Raita, Tandoori Chicken, Mutton Biryani","Extensive Bar Menu, Jain Food Options, Good Quality Good Service, Variety of Veg Options, Good for Large Groups, Comfortable Seating Area",800
Momoz,"chinese, momos, seafood, thai","BTM, Bangalore",11am – 3am (Today),"805, 1st floor, 7th Cross, 2nd Stage, Mico Layout, BTM, Bangalore",1,1,1,0,4.1,908,4.0,26000,,"Chicken Cheese Fried Momos, Vegetable Thukpa, Bamboo Shoot Soup, Honey Crispy Chicken, Ginger Chicken, Chicken Hakka Noodles","Relaxed Atmosphere, Decent Ambience, Friendly Place, Interior, Good Value, Good Quantity",500
Sangam Sweets,"mithai, street food, fast food, beverages","HSR, Bangalore",8am – 10pm (Today),"1090, 18th Cross Road, Sector 3, HSR, Bangalore",1,1,1,0,3.9,243,4.2,8492,,"Kaju Barfi, Dabeli, Jalebi, Pav Bhaji, Chaat, Pani Puri","Parking Space Available, Nice/Colourful Packaging, Hygienic Place, Hygiene, Tasty, Delicious Food",300
New Shanthi Sagar,"south indian, north indian, chinese, street food, beverages, shake","Basavanagudi, Bangalore",7am – 10:30pm (Today),"18, South End Circle, R V Road, Basavanagudi, Bangalore",1,1,0,0,2.6,70,4.0,563,,,,600
The Pizza Bakery - Brew & Eatery,"pizza, pasta, italian, continental, fast food, salad, desserts, beverages","Church Street, Bangalore",11:30am – 11:30pm (Today),"86, Coconut Grove, Spenser Building, Church Street, Bangalore",1,1,1,0,4.0,130,4.2,697,,,"Service is Great, Sanitised Service, Ambience was Super Cool, Clean and Hygienic Place, Food Presentation, Elaborate Menu",500
Ambur Hot Dum Biryani,biryani,"BTM, Bangalore",11am – 11pm (Today),"85/86/7, Sapthagiri Complex, Vengateshwara Layout, Opposite Srinivas Theatre, BTM, Bangalore",1,1,1,0,3.4,28,4.2,104,,,,250
Chicken County Restaurant,"north indian, chinese, mughlai, seafood, fast food, biryani, beverages","Bannerghatta Road, Bangalore",12noon – 1am (Today),"13, Opposite Spar Hyper Market, Bannerghatta Road, Bangalore",1,1,1,0,4.0,390,4.0,3068,,"Grilled Chicken, Shawarma, Kebabs, Butter Chicken, Rolls, Starters","Tasty Food, Price, Good Food, Menu, Good Place, Quantity",600
Chef Bakers,"bakery, fast food, pizza, sandwich, burger, desserts","Bellandur, Bangalore",10am – 10:30pm (Today),"74/2, Junction, Outer Ring Road, Bellandur, Bangalore",1,1,1,0,3.1,130,4.2,508,,"Pastries, Cakes, Chocolate, Pizzas",,400
Aubree,"fast food, italian, thai","Koramangala 6th Block, Bangalore",9am – 11:30pm (Today),"421/A, 80 Feet Road, Koramangala 6th Block, Bangalore",1,1,1,0,3.5,89,4.2,821,,,"Comfortable Seating, Presentation, Main Course, Packaging, Ambience, Staff",900
Five Star Chicken And Kolihut,fast food,"Bommanahalli, Bangalore",12noon – 10pm (Today),"1, Hosapalaya Bus Stand, Bommanahalli, Bangalore",1,1,1,0,3.5,0,3.8,6,,,,350
Ambur Star Briyani Since 1890,"biryani, chettinad, chinese","Koramangala 5th Block, Bangalore",12noon – 2am (Today),"104/ 67-3-104, Vijay Jatti Building, 1st Main Road, Koramangala 5th Block, Bangalore",1,0,1,0,3.5,1,4.0,37,,,,450
Just Bake,"bakery, desserts, fast food","Frazer Town, Bangalore","12midnight – 1:30am, 8:49am – 10:30pm (Today)","5, Mosque Road, Opposite HDFC Bank, Frazer Town, Bangalore",1,1,1,0,3.4,15,3.9,615,,,,350
Bake and Juice,"arabian, sandwich, burger, biryani, lebanese, beverages, juices, shake","Hosur Road, Bangalore",11am – 11:30pm (Today),"1st Main, 8th Cross, SG Palya Main Road, DRC Post, Venkateshwara Layout, S.G. Palya, Hosur Road, Bangalore",1,1,1,0,2.9,83,3.6,13300,,,,400
Donne Biryani Palace,"biryani, south indian","BTM, Bangalore","10:30am – 5:55pm, 6pm – 12midnight (Today)","1187, Shop 1 & 2, Ground Floor, 18th Main Cashier Layout, BTM, Bangalore",1,1,1,0,3.6,33,3.5,1443,,,,300
Cafe Coffee Day,"coffee, fast food, desserts, beverages","Koramangala 5th Block, Bangalore",9am – 12midnight (Today),"138, KHB Colony, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore",1,1,1,0,2.6,81,3.8,169,,,"Good Place, Ambience, Staff, Packaging",600
By 2 Coffee,south indian,"Basavanagudi, Bangalore","7am – 12noon, 4pm – 10pm (Today)","12, Old 387, Market Road, VV Puram, Basavanagudi, Bangalore",1,1,0,0,3.8,0,4.2,2561,,,,150
Adiga's,"south indian, north indian, chinese, street food, desserts, ice cream, beverages","HSR, Bangalore",6am – 11pm (Today),"907/117, Sai Optimus Gold, 5th main, 7th Sector, HSR, Bangalore",1,1,1,1,3.8,677,4.1,14500,,"Filtered Coffee, Masala Dosa, Idli, Chutneys, Sambar","Family Place, Breakfast, Courteous Service, Parking, Decent Place, Hygiene",800
Kalingas,"north indian, odia, south indian","BTM, Bangalore",7am – 11pm (Today),"399, 16th Main, N.S Palya, BTM, Bangalore",1,1,1,0,4.0,460,4.1,24600,,"Dahi Baigan, Aloo Chop, Chicken Kassa, Mutton Kosha, Veg Thali, Sweets","Economical, Great Recommendations, Low Price, Prompt Service, Mood, Breakfast",300
Madurai Idly Shop,"south indian, chinese","Koramangala 7th Block, Bangalore",7am – 11:55pm (Today),"507, Ko 338-419, KHB Colony, 1st B Main Road, Koramangala 7th Block, Bangalore",1,1,1,0,3.7,552,3.9,2285,"Authentic South Indian cuisine, and a go to place for breakfast.",,"Breakfast, Decent Place, Hygiene, Reasonable Price, Meals, Good Place",300
Friendly Neighbourhood Pizza Man,"pizza, fast food, desserts, beverages","Basavanagudi, Bangalore",12noon – 11pm (Today),"21, Visveswarapuram, National High School Road, Basavanagudi, Bangalore",1,1,1,1,3.7,18,4.0,52,,,"Humble Staff, Young Crowd, Fresh Food, Prices, Good Quality",400
Hyderabad Magic,"arabian, fast food","HSR, Bangalore",6am – 11:30pm (Today),"2, 1st Street, Aaimatha Temple Road, Vinayaka Nagar, HSR, Bangalore",1,1,0,0,3.5,7,3.9,1759,,,,400
Hotel Salam,"lebanese, kebab, rolls, south indian","Bommanahalli, Bangalore",9am – 11pm (Today),"45, Opposite Salapuria Sreenidhi Apartment, Mangammanapalya Main Road, B.B.M.P South, Bommanahalli, Bangalore",1,1,1,0,4.0,241,4.0,12200,,,"Mouth Watering Food, Prices, Good Place, Good Food, Experience",200
Rooftop Cafe,"pizza, fast food, chinese, coffee, beverages","Jayanagar, Bangalore",10:30am – 10:30pm (Today),"16/33, 11th Main, 4th Block, Geetha Colony, Jayanagar, Bangalore",1,1,1,0,4.1,922,4.0,1072,,"Tri Pepper Pizza, Nacho Salsa, Litchi Shake, Thick Shakes, Oreo Shake, Cheese Pizza","Great for Birthdays, Good Hangout Place, Affordable, Pocket Friendly Place, Cheap, Top Floor",350
XO Belgian Waffle,"desserts, beverages, waffle, shake","Koramangala 5th Block, Bangalore","12midnight – 4am, 11am – 12midnight (Today)","105, 1 A Cross, Koramangala 5th Block, Bangalore",1,1,1,1,4.4,790,4.2,11200,,"Ferrero Rocher Waffle, Caramel Chocolate, Melted Chocolate, Nutella Waffles, Red Velvet Waffle, Shakes","Totally Worth it, Pretty Decor, Pocket Friendly, Packed on Weekends, Cozy Place, Fast Service",400
Apsara Ice Creams,"ice cream, desserts","Koramangala 5th Block, Bangalore",12noon – 1am (Today),"1433/B, 60 Feet Road, Fifth Block, KHB Block, Koramangala 5th Block, Bangalore",1,1,1,0,4.2,276,4.3,482,,,"Best Place, Good Place, Staff, Ambience, Service, Food",400
Kadavu Shappu Currys,"kerala, south indian","HSR, Bangalore",8am – 11pm (Today),"48, Ground Floor, 20th Cross, 18th Main, Near Saibaba Temple, HSR, Bangalore",1,1,1,0,3.5,112,4.0,11100,,"Malabar Fish Curry, Pothichoru, Porotta, Appam","Cute Packaging, Food Presentation, Spill Proof Packaging, Worth the Money, Great Portions, Timely Service",300
Jose Mess,"south indian, biryani, chinese","BTM, Bangalore",7am – 10pm (Today),"27/2, 9th Cross, Maruthi Nagar, Madivala, BTM, Bangalore",1,1,1,0,3.5,6,4.1,896,,,,300
Khan Saheb Grills & Rolls,"north indian, rolls, kebab, mughlai, biryani, beverages","Koramangala 7th Block, Bangalore",12:30pm – 12:30am (Today),"50/1, 5th Block, Industrial Area, Jyothi Nivas College Road, Koramangala 7th Block, Bangalore",1,1,1,0,4.0,303,3.9,1390,Extensive variety of rolls and kebabs,"Beda Roti, Rolls, Chutneys, Kebabs, Paneer Tikka, Meat","Location, Good Place, Quantity, Price, Food",500
Sreeraj Lassi Bar,"beverages, shake, ice cream, desserts","Bannerghatta Road, Bangalore",11:30am – 11pm (Today),"5, New Guruppna Palya, Bannerghatta Road, Bangalore",1,1,1,0,3.6,1,4.1,211,,,,300
Muthashy's,"kerala, south indian, chinese","BTM, Bangalore",7am – 11pm (Today),"3, Brindavan Complex, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",1,1,1,0,4.1,623,4.1,43700,,"Meen Curry, Egg Roast, Pothichoru, Porotta, Appam, Chicken Curry","Low Price, Good Quantity, Tasty, Best Place, Worth the Money, Great Food",400
Fattoush,"north indian, mughlai, chinese, biryani, beverages, shake","Bannerghatta Road, Bangalore",12noon – 12midnight (Today),"128/54/10, 1st Floor, Dasarapalya, Opposite IIM - B, Bannerghatta Road, Bangalore",1,1,1,0,4.2,2040,3.9,28000,,"Majboos Chicken, Luqaimat, Irani Chicken Tikka, Mango Chiller, Sitaphal Cream, Passion Mojito","Comfortable Seating Area, Gastronomical Experience, Warm Welcome, Huge Place, Family Place, Food Service",1000
Fanoos Xprss,"rolls, fast food, north indian","Jayanagar, Bangalore",12noon – 12midnight (Today),"Opposite Swagath Garuda Mall, Tilak Nagar, Jayanagar, Bangalore",1,1,1,0,3.2,68,4.1,1501,,,,400
Kundana,"andhra, mughlai, north indian, chinese, seafood, desserts, beverages","Bannerghatta Road, Bangalore",11:30am – 3am (Today),"176, 1st Floor, Opposite Brand Factory, Bannerghatta Road, Bangalore",1,1,1,0,3.9,466,3.7,34800,,,"Fusion Dishes, Relaxed Atmosphere, Good for Large Groups, Packed on Weekends, Comfortable Seating Area, Fancy Crowd",800
Upahara Darshini,"south indian, north indian, fast food, street food, ice cream, beverages, chinese","Jayanagar, Bangalore",7:30am – 10:30pm (Today),"Opposite Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",1,1,1,0,3.7,222,4.1,3695,,"Masala Dosa, Vada, Fried Rice, Ice Cream, Coffee","Self Service, Breakfast, Manager, Value for Money, Main Course, Prices",400
Kailash Parbat,"north indian, street food, beverages","Vega City, Bannerghatta Road, Bangalore",11am – 10:30pm (Today),"172, Third Floor, Vega City, Srinivasa Industrial Estate, Billekahalli, Bannerghatta Road, Bangalore",1,1,0,0,2.9,55,3.5,473,,,,500
Tenzin Kitchen,"tibetan, chinese, momos","Koramangala 7th Block, Bangalore",12noon – 10pm (Today),"G-6/121, Money Centre Building, Koramangala 7th Block, Bangalore",1,1,1,0,4.2,604,4.1,9916,,"Authentic Tibetan Food, Peking Chicken, Tingmo, Noodle, Chopsuey, Momos","Good Food Good Quantity, Cozy Ambience, Good Crowd, Reasonable Prices, Friendly Place, Authentic Taste",600
Cream Stone,"ice cream, desserts, beverages, shake","HSR, Bangalore",10:30am – 2am (Today),"89, 17th Main Road, HSR, Bangalore",1,1,1,0,4.3,1158,4.0,8981,"High Quality premium ice cream blends, homemade waffle bowls & cones, innovative recipes, a wide range of mix-ins.","Ferrero Rocher Chocolate, Ice Cream Sundae, Choco Lava, Ice Creams, Chocolate Fudge, Icecream","Pocket Friendly, Concept, Preparation, Mood, Best Places, Awesome Place",300
Nagarjuna Chimney,"andhra, biryani, north indian","Jayanagar, Bangalore",12noon – 11pm (Today),"21/22, 22nd Cross, 3rd Block, Jayanagar, Bangalore",1,1,1,0,4.1,1119,4.2,425,Andhra meals and Biryanis,"Chicken Sholay, Chicken Roast, Chicken 65, Veg Thali, Sambhar, Mutton Biryani","Good for Large Groups, Servings, Comfortable Seating Area, Parking, Family Crowd, Quick Service",600
Sri Vishnu Park,"south indian, north indian, chinese, biryani, beverages","BTM, Bangalore",7am – 11pm (Today),"14, 29th Main, 100 Feet Road, 1st Stage, BTM, Bangalore",1,1,1,1,3.9,273,4.0,20200,,"Masala Dosa, Vada, Sambar, Fried Rice","Pocket Friendly Place, Ample Seating Area, Breakfast, Nice Food, Location, Quantity",700
Daily Sushi,"japanese, korean, sushi, asian","HSR, Bangalore",11am – 11pm (Today),"1212, 4th Floor, SBM Fortune, 3rd Sector, 22nd Cross Road, HSR, Bangalore",1,1,1,0,4.2,306,4.1,1041,,"Teriyaki Chicken Wings, Sushi Rolls, Kimchi, Ramen, Salmon, Rice Bowl","Minimalist Interior Design, Authenticity, Wonderful Presentation, Contactless Delivery, Perfect Presentation, Proper Packaging",800
Sri Venkateshwara Sweet Meat Stall,"mithai, street food, desserts, beverages","Jayanagar, Bangalore",8am – 10pm (Today),"301A, 9th Main, 4th Block, Jayanagar, Bangalore",1,1,1,1,4.0,219,4.3,127,,"Mysore Pak, Raj Kachori, Bhel Puri, Kulfi, Pani Puri, Sweets","Clean Place, Ambiance, Good Place, Price, Quality, Staff",300
Gopizza,"pizza, fast food","Koramangala 5th Block, Bangalore",11am – 11pm (Today),"58, Industrial Layout, Joyti Nivas Road, Koramangala 5th Block, Bangalore",1,1,1,0,3.7,36,3.5,806,,,"Filling Food, Mouth Watering Food, Awesome Place, Wonderful Presentation, Perfect Presentation, Contactless Delivery",500
Third Wave Coffee,"coffee, cafe, beverages, fast food","Koramangala 4th Block, Bangalore",8am – 3am (Today),"984, 80 Feet Main Road, Koramangala 4th Block, Bangalore",1,1,1,0,4.6,1512,4.1,807,decor and variety of coffee,"Peanut Butter French Toast, Skillet Cookie, Vietnamese Iced Coffee, Shakshuka, Turkish Coffee, Key Lime Pie","Free Wifi, Peaceful Environment, Breakfast Menu, Reasonable Rate, Pleasant Ambience, Comfortable Seating",400
New Mahesh Friends Food Corner,"north indian, chinese, street food","BTM, Bangalore",10am – 3am (Today),"397, 16th Main 7th Cross, BTM Layout, 2nd Stage, BTM, Bangalore",1,1,1,0,3.5,244,3.3,20900,,,"Drive through, Casual Seating Area, Office Crowd, Economical, Cute Little Place, Great Recommendations",300
Shree Muthahalli Veg,"south indian, north indian, street food, desserts, chinese, beverages, shake","HSR, Bangalore",8am – 10pm (Today),"240, 19th Main, Sector 4, HSR, Bangalore",1,1,1,0,4.1,485,4.0,28200,,"Ragi Dosa, Kesari Bath, Idli, Chutney, Coffee","Comfort Food, Cordial Staff, Low Price, Great Recommendations, Cleanliness, Great Ambiance",300
Le Arabia,"arabian, north indian, mughlai, chinese, biryani, beverages, desserts","JP Nagar, Bangalore","12:01am – 3:30am, 10:30am – 12midnight (Today)","15, Bannerghatta Main Road, Opposite Shoppers Stop, JP Nagar, Bangalore",1,1,1,0,4.3,780,3.6,7881,,"Al Faham Chicken, Alfam Chicken, Crispy Chicken, Sea Food, Falooda, Basmati Rice","Reasonable Cost, Economical Price, Comfortable Seating, Great Quality, Gastronomical Experience, Family Place",1000
Mumbai Xpress,"fast food, north indian, street food, beverages, chinese, shake","Koramangala 5th Block, Bangalore",11am – 10pm (Today),"59, Industrial Layout, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",1,1,1,1,4.0,132,3.5,2679,,"Kulhad Wali Chai, Aloo Vada, Maggi, Hakka Noodles, Chai, Sandwich","Cute Little Place, Authentic Taste, Food Menu, Polite Staff, Prompt Service, Owner",350
Rolls Kitchen,"rolls, fast food, beverages","Langford Town, Bangalore",9:30am – 9:30pm (Today),"Opposite St Joseph College, Langford Road, Langford Town, Bangalore",1,1,0,0,3.3,4,4.1,2429,,,,200
Brik Oven,"fast food, desserts, beverages","Koramangala 5th Block, Bangalore",11am – 11:30pm (Today),"70, Jyothi Niwas, Koramangala Industrial Area, College Road, Koramangala 5th Block, Bangalore",1,1,1,0,3.8,41,4.0,772,,,"Large Servings, Best Staff, Served Quickly, Comforting Atmosphere, Clean and Hygienic Place, Delicious Taste",1200
Dum Biryani Hub,"biryani, north indian, chinese, desserts, beverages","BTM, Bangalore","12midnight – 5am, 11am – 12midnight (Today)","39, 1 St 'C' Cross, Opp Swaraj Hyper Market, Chocolate Factory Road, Tavarekere BTM, Bangalore",1,1,1,0,3.7,145,3.5,13400,,,"Affordable Rate, Amazing Taste, Perfect Presentation, Spill Proof Packaging, Good Taste, Good Service",450
Natraj Chole Bhature,"north indian, street food","Jayanagar, Bangalore",9am – 9:30pm (Today),"87/16, Ground Floor, VGP Victory Plaza, 30th Cross, 7th main, 4th Block, Jayanagar, Bangalore",1,1,1,0,3.6,71,4.1,702,,,"Hygiene, Elaborate Menu, Young Crowd, Fresh Food, Good Quality, Prices",200
Bansuri Sweets,"mithai, north indian, street food","BTM, Bangalore",8am – 10:30pm (Today),"948, 16th Main, 7th Cross Road, 2nd Stage, BTM, Bangalore",1,1,1,1,3.7,148,3.6,2137,,"Club Kachori, Rasmalai, Pani Puri, Gulab Jamun, Thali, Snacks","Nice Place, Prices, Experience, Staff, Quantity, Ambience",200
Hotel Manu,"kerala, south indian, chinese, north indian, biryani, beverages","HSR, Bangalore",8am – 10:30pm (Today),"119, Neardevi Eye Clinic, Sector 5, HSR, Bangalore",1,1,1,0,3.8,250,3.8,18800,,,"Low Price, Meals, Good Taste, Prices, Good Food, Good Quality",400
Biggies Burger,"burger, fast food, beverages","HSR, Bangalore",11am – 11pm (Today),"447, Ground Floor, 17th Cross Road, Sector 4, HSR, Bangalore",1,1,1,0,4.1,218,3.7,927,,,"Outside Sitting, Vegan Options, Cooperative Staff, Clean and Hygienic Place, Best Food under Best Budget, Environment",300
Charminar Biryani House,"biryani, north indian","BTM, Bangalore",,"51/108, Floor 1, 10th Main Road, Stage 1, BTM, Bangalore",1,1,1,0,3.6,16,4.1,2759,,,"Very Affordable, Delicious Taste, Fresh Food with Good Quality, Portion, Good Taste",300
Hari Super Sandwich,"sandwich, fast food","BTM, Bangalore",8am – 10:30pm (Today),"688/C, 7th Main, 10th Cross, Mico Layout, 2nd Stage, BTM, Bangalore",1,1,1,0,3.8,110,4.0,8015,,,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality, Service",200
IDC Kitchen,"south indian, beverages","Koramangala 5th Block, Bangalore",7am – 10pm (Today),"56, JNC Road, Koramangala 5th Block, Bangalore",1,1,1,1,4.1,170,4.1,5661,,"Ghee Idli, Akki Rottis, Filtered Coffee, Vada","Casual Seating Area, Pocket Friendly, Great Recommendations, Breakfast, Value for Money, Worth the Money",150
Twiststick House,"continental, burger, chinese, rolls, beverages","Basavanagudi, Bangalore",11am – 11:30pm (Today),"97, V V Puram, Opposite Jain College, Kavi Lakshmisha Road, Basavanagudi, Bangalore",1,1,0,0,4.0,200,4.1,3505,,"White Pasta, Babycorn Manchurian, Cheese Garlic Bread, Chinese Food, Momos, Noodles","Wonderful Place, Yummy Food, Great Taste, Best Place, Tasty Food, Great Food",400
HSR High Street,"north indian, mughlai, chinese, biryani","HSR, Bangalore",8am – 12:30am (Today),"235, 9th Main, Sector 6, HSR, Bangalore",1,1,1,0,4.1,746,4.0,8061,,"Dosa Chicken Curry, Ginger Tea, Butter Naan, Dosa, Snacks, Starters","Themed Decor, Relaxed Atmosphere, Ample Seating Area, Boneless Chicken Biryani, Good Quality Food, Food Presentation",800
Jeni's Kitchen,"biryani, chinese, north indian, andhra, beverages, shake","Bommanahalli, Bangalore",9am – 11:30pm (Today),"16/10, Ground Floor, Hosapalya Main Road, Bommanahalli, Bangalore",1,1,1,0,3.3,21,3.8,2779,,,"Elaborate Menu, Worth the Money, Good Taste, Great Portions, Packaging, Good Quality",400
Hungry Bird,"biryani, north indian, chinese, rolls, fast food","BTM, Bangalore",11am – 3am (Today),"17/18, Ground Floor, 4th Link Main, 4th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore",1,1,1,0,3.8,106,4.0,6972,,,"Good Wifi, Weekend Brunch, Student Crowd, Young Crowd, Family Crowd, Elaborate Menu",400
K C Das,"mithai, street food","JP Nagar, Bangalore",9:50am – 8:30pm (Today),"1/4, 100 Feet Ring Road, 4th Phase, JP Nagar, Bangalore",1,0,1,0,2.7,76,3.5,126,,,,300
Holige Mane,south indian,"HSR, Bangalore",10am – 9:30pm (Today),"44, 24th Main, Sector 1, HSR, Bangalore",1,1,0,1,2.8,5,4.4,1513,,,,100
Parkview,"south indian, north indian, street food, juices, chinese, shake","JP Nagar, Bangalore",7am – 10:30pm (Today),"45, 1st Main, 3rd Phase, Opposite Mini Forest, JP Nagar, Bangalore",1,1,1,1,4.0,171,4.2,4699,,,"Breakfast, Location, Good Taste, Worth the Money, Packaging, Price",300
